English,EnglishMeaning,POS,EnglishPronunciation ,Lang,EnglishSentence,EnglishSentenceTranslate,EnglishAudio,LangAudio
nerve,of nerves,adjective,nerve,عصب,Many of his nerve cells were damaged from abusing drugs for years.,بسیاری از سلول های عصبی او سالها از سوء استفاده از مواد مخدر آسیب دیده اند.,,
nerves,anxiety,plural noun,nerves,اعصاب,My mother is obsessive and suffers from nerves.,مادر من وسواس است و از اعصاب رنج می برد.,,
lung,anatomy,noun,lung,ریه,Smoking can have very negative effects on your lungs.,سیگار کشیدن می تواند اثرات بسیار منفی بر روی ریه های شما داشته باشد.,,
steady,immovable,adjective,steady,ثابت,The tower remained steady during the earthquake.,برج در طول زلزله ثابت ماند.,,
steady,"unwavering, gaze",adjective,steady,ثابت,It was difficult for me to tear my eyes from his steady gaze.,برای من دشوار بود که چشم هایم را از نگاه ثابت او پاره کنم.,,
steady,"unwavering, hand",adjective,steady,ثابت,To be a calligrapher you need a very steady hand.,به عنوان یک خوشنویسی به یک دست بسیار پایدار نیاز دارید.,,
steady,"unwavering, nerves",adjective,steady,ثابت,He has proved to have steady nerves.,او ثابت کرده است که اعصاب پایدار داشته باشد.,,
steady,regular,adjective,steady,ثابت,Walk at a steady pace without stopping for an hour.,بدون توقف به مدت یک ساعت به سرعت حرکت کنید.,,
steady,"regular, flow or stream",adjective,steady,ثابت,There was a steady stream of people coming out of the building.,یک جریان ثابت از مردم خارج از ساختمان وجود داشت.,,
steady,"regular, traffic or growth",adjective,steady,ثابت,"After a decade of steady growth, the economy contracted.","پس از یک دهه رشد پایدار، اقتصاد قراردادی قرارداد کرد.",,
steady,"regular, prices or relationship",adjective,steady,ثابت,"Despite everything, prices kept steady.","با وجود همه چیز، قیمت ها ثابت نگه داشته شد.",,
steady,"regular, beat or rhythm",adjective,steady,ثابت,The patient has stabilized and his heartbeat is now steady.,بیمار تثبیت شده است و ضربان قلب او در حال حاضر ثابت است.,,
steady,"regular, temperature",adjective,steady,ثابت,The temperature is steady year-round.,دما در سال ثابت است.,,
steady,reliable,adjective,steady,ثابت,"Andrew comes off as a steady man, but he's actually a clown.","اندرو به عنوان یک مرد ثابت می آید، اما او در واقع یک دلقک است.",,
steady,to make stable,transitive verb,steady,ثابت,You can steady the camera with a tripod.,شما می توانید دوربین را با سه پایه ثابت کنید.,,
steady,to make calm,transitive verb,steady,ثابت,It was hard to steady the horses in the midst of the roaring cannons.,اسب ها در میان توپ های سرگردان سخت بود.,,
steady,to become stable,intransitive verb,steady,ثابت,The wind died down and the temperature steadied.,باد درگذشت و درجه حرارت ثابت شد.,,
steady,to become calm,intransitive verb,steady,ثابت,"When she spoke again, her voice had steadied.","هنگامی که او دوباره صحبت کرد، صدای او مستقر بود.",,
steady,together,adverb,steady,ثابت,"Her mother says they're going steady, but you hardly see them together.","مادرش می گوید که آنها پایدار هستند، اما شما به سختی آنها را با هم می بینید.",,
steady,easy,interjection,steady,ثابت,Steady! The floor is wet.,ثابت! کف مرطوب است,,
steady,used to exhort calm,interjection,steady,ثابت,Steady! The enemy soldiers can't see us in the dark.,ثابت! سربازان دشمن نمی توانند ما را در تاریکی ببینند.,,
headline,title,noun,headline,عنوان,The editor was embarrassed by the unfortunate typo in the headline.,سردبیر توسط تایپ تاسف آور در عنوان خجالت زده شد.,,
headline,to be the star,intransitive verb,headline,عنوان,Who's headlining the play?,چه کسی بازی را هدایت می کند؟,,
headline,to title,transitive verb,headline,عنوان,"The article was headlined ""Governor vetoes expansion of health benefits.""","این مقاله هدست بود ""فرماندار گسترش مزایای بهداشتی را گسترش داد.",,
headlines,outstanding news,plural noun,headlines,سرفصل,"As usual, the evening news anchor read the headlines first.","به طور معمول، لنگر اخبار شبانه اولین اخبار را بخواند.",,
sudden,abrupt,adjective,sudden,ناگهانی,The sun went down and a sudden drop in temperature followed immediately.,خورشید پایین رفت و یک قطره ناگهانی در دمای به دنبال آن بود.,,
successfully,effectively,adverb,successfully,با موفقیت,The round of talks concluded successfully.,دور مذاکرات به طور موفقیت آمیز نتیجه گرفت.,,
successfully,satisfactorily,adverb,successfully,با موفقیت,The candidate for doctor has successfully demonstrated his merit.,نامزد دکتر با موفقیت شایستگی خود را نشان داده است.,,
defendant,"legal, criminal case",noun,defendant,مدافع,The defendant has been charged with embezzlement.,متهم به اختلاس متهم شده است.,,
defendant,"legal, civil case",noun,defendant,مدافع,The jury found the defendant liable for the damages caused.,هیئت منصفه متهم را مسئول آسیب های ناشی از آن یافت.,,
pole,supporting structure,noun,pole,قطب,A car crashed into the telephone pole on the corner by my house.,یک ماشین به خانه من در گوشه تلفن سقوط کرد.,,
pole,sports,noun,pole,قطب,"Nowadays, poles for vaulting are made with fiberglass instead of bamboo.",امروزه قطب ها برای غرفه ها با فایبرگلاس به جای بامبو ساخته شده اند.,,
pole,geography,noun,pole,قطب,The South Pole is much colder than the North Pole.,قطب جنوب بسیار سردتر از قطب شمال است.,,
pole,physics,noun,pole,قطب,"If you face the positive and negative poles of the batteries incorrectly, they may burst.","اگر شما با قطب مثبت و منفی از باتری ها مواجه شدید، ممکن است آنها را پشت سر بگذارند.",,
pole,to push with a pole,transitive verb,pole,قطب,"In shallow waters, it is better to pole a canoe than to row.","در آب های کم عمق، بهتر است به قطب قایق قایقرانی از ردیف.",,
satisfy,to please,transitive verb,satisfy,رضایت دادن,Your customer service really satisfied me.,خدمات مشتری شما واقعا من راضی بود.,,
satisfy,to fulfill a desire or need,transitive verb,satisfy,رضایت دادن,The chocolate satisfied my appetite for now.,شکلات اشتها من را در حال حاضر راضی است.,,
satisfy,to meet requirements,transitive verb,satisfy,رضایت دادن,You have to satisfy these requirements if you want to apply.,"اگر میخواهید درخواست کنید، باید این الزامات را برآورده کنید.",,
satisfy,to pay off,transitive verb,satisfy,رضایت دادن,You have until the end of the month to satisfy your debt.,شما تا پایان ماه برای برآوردن بدهی های خود دارید.,,
satisfy,to convince,transitive verb,satisfy,رضایت دادن,The lawyer finally satisfied them of his client's innocence.,وکیل سرانجام آنها را از بی گناهی مشتری خود راضی بود.,,
